2,,"Prevalence, screening and management of psychological features and models of care",,
2.1,,"Quality of Life",,
2.1.1,EBR,"Healthcare professionals and women should recognize the adverse impact of PCOS and/or PCOS features on quality of life in adults.",4,2
2.1.2,PP,"Women with PCOS should be asked about their perception of PCOS related-symptoms, impact on quality of life, key concerns, and priorities for management.",,
2.2,,"Depression and Anxiety",,
2.2.1,EBR,"Healthcare professionals should be aware of the high prevalence of moderate to severe depressive symptoms and depression in adults and adolescents with PCOS and should screen for depression in all adults and adolescents with PCOS, using regionally validated screening tools.",4,4
2.2.2,EBR,"Healthcare professionals should be aware of the high prevalence of moderate to severe anxiety symptoms and anxiety disorders in adults and should screen for anxiety in all adults with PCOS, using regionally validated screening tools.",4,4
2.2.3,CR,"If moderate or severe depressive or anxiety symptoms are detected, practitioners should further assess, refer appropriately, or offer treatment.",4,
2.2.4,PP,"Severity of symptoms and clinical diagnosis of depression or anxiety should guide management. The optimal interval for anxiety and depression screening is not known. A pragmatic approach could include screening at diagnosis with repeat screening based on clinical judgement, risk factors, comorbidities, and life events, including the perinatal period. Screening for mental health disorders comprises assessment of risk factors, symptoms, and risk of self-harm and suicidal intent.",,
2.3,,"Psychosexual function",,
2.3.1,CR,"Healthcare professionals could consider the multiple factors that can influence psychosexual function in PCOS including higher weight, hirsutism, mood disorders, infertility and PCOS medications.",3,
2.3.2,CR,"Permission to discuss psychosexual function should be sought noting that the diagnosis of psychosexual dysfunction requires both low psychosexual function combined with related distress.",4,
2.4,,"Body Image",,
2.4.1,EBR,"Healthcare professionals should be aware that features of PCOS can have a negative impact on body image.",4,2
2.5,,"Eating disorders",,
2.5.1,EBR,"Eating disorders and disordered eating should be considered in PCOS, regardless of weight, especially in the context of weight management and lifestyle interventions (see sections 2.4 and 3.6).",3,2
2.5.2,PP,"If disordered eating or eating disorders are suspected, appropriately qualified practitioners should further assess via a full diagnostic interview. If an eating disorder or disordered eating is detected, appropriate management and support should be offered.",,
2.6,,"Information resources, models of care, cultural and linguistic considerations",,
2.6.1,,"Information needs",,
2.6.1.1,EBR,"Tailored information, education and resources that are high-quality, culturally appropriate and inclusive should be provided to all with PCOS.",4,3
2.6.1.2,EBR,"Information, education and resources are a high priority for patients with PCOS and should be provided in a respectful and empathic manner.",4,3
2.6.1.3,CR,"Entities responsible for healthcare professional education should ensure that information and education on PCOS is systemically embedded at all levels of healthcare professional training to address knowledge gaps.",4,
2.6.1.4,PP,"The diversity of the population should be considered when adapting practice paradigms. Healthcare professional education opportunities should be optimised at all stages of graduate and postgraduate training and continuing professional development and in practice support resources.",,
